work_id,title,author,warnings,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,summary
15734877,What about the horse?,/users/candream/pseuds/candream,Creator Chose Not To Use Archive Warnings,General Audiences,,Marvel Cinematic Universe,,"Wanda Maximoff, Pietro Maximoff",,English,2018-08-15,Completed,2018-08-15,142,1/1,null,null,null,4,Wanda wants to have a toy horse.
15734850,10-word story.,/users/candream/pseuds/candream,Major Character Death,General Audiences,,Marvel Cinematic Universe,,"Wanda Maximoff, Pietro Maximoff",,English,2018-08-15,Completed,2018-08-15,10,1/1,null,null,null,5,Wanda dies and she meets her twin brother again.
15707112,the 's' lines of your body,/users/asocial_butterfly/pseuds/asocial_butterfly,Creator Chose Not To Use Archive Warnings,Not Rated,M/M,Pu nohiroakademia | Boku no Hero Academia | My Hero Academia,Bakugou Katsuki/Todoroki Shouto,"Bakugou Katsuki, Todoroki Shouto, Ashido Mina, Kaminari Denki, Kirishima Eijirou","bktdweek18_vol2, BakuTodo Week 2018, BakuTodo, Trans Todoroki Shouto, kpop star bakugou, k pop star todoroki, k-pop AU, Dancing, Friends to Lovers, they are still friends rn thou",English,2018-08-15,Completed,2018-08-15,1354,1/1,null,6,null,82,"recently debuted solo artist shouto tries to find his dressing room backstage at an award show sadly he's been clumsy enough to lose his stylist and has no idea where he's going. in his search for his room he stumbles upon a practice room in use by non-other than pluse ultra more specifically bakugou, more commonly known as 'zero'  he's surprised to see his new confidant moving in ways he'ed never seen him move. orthe kpop AU I've been planning out for 2 months, featuring trans todoroki, bi bakugou, pan kaminari, bi kirishima and gay ashido. and i'm showing a snippet of it now, this takes place a little further into the story, I haven't actually written the story but I know what happens so here you go."
15703230,I am Damaged,/users/Neptunium134/pseuds/Neptunium134,Major Character Death,Teen And Up Audiences,"F/M, M/M",Formula 1 RPF,"Esteban Ocon/Lance Stroll, Esteban Ocon/ Pierre Gasly, Valtteri Bottas/Emilia Pikkarainen","Lance Stroll, Esteban Ocon, Fernando Alonso, Valtteri Bottas, Daniel Ricciardo, Max Verstappen, Lewis Hamilton, Kimi Raikkonen, Carlos Sainz Jr, Sergio Perez, Sergey Sirotkin, Nico Hulkenberg, Sebastian Vettel, Stoffel Vandoorne, Marcus Ericsson, Brendon Hartley, All 2018 F1 drivers","Major character death - Freeform, Suicide, Grieving, Funeral, Feels, oh the feels",English,2018-08-15,Completed,2018-08-15,5734,1/1,2,null,null,41,"Collab with ChachaScamander on Wattpad Continuation of ChachaScamander's ""Lansteban- Friends"" (Read that before this or you won't understand.)Parts 2&3 are included in this book After Esteban's betrayal, Lance doesn't think he can take any more. Hurt, angry, tired and alone, he does something no-one expected him to do... WARNING- The following story contains depression and suicidal themes."
15700092,Running into Alicia,/users/whovianpotterhead17/pseuds/whovianpotterhead17,Creator Chose Not To Use Archive Warnings,Not Rated,F/M,The Good Fight (TV),Diane Lockhart/Kurt McVeigh,"Diane Lockhart, Kurt McVeigh, Alicia Florrick, Grace Florrick",,English,2018-08-15,Completed,2018-08-15,1505,1/1,null,4,null,200,While on a date Diane and Kurt are approached by someone from their past.
15700065,The Kippen-Brown Siblings Have a Type,/users/TideNightWalker/pseuds/TideNightWalker,No Archive Warnings Apply,General Audiences,Multi,Andi Mack (TV),"Cyrus Goodman/T. J. Kippen, Amber (Andi Mack)/Iris (Andi Mack), Cyrus Goodman & Iris (Andi Mack)","Cyrus Goodman, T.J. Kippen, Amber (Andi Mack), Iris (Andi Mack)","Amber and T.J. are Step-siblings, Iris and Cyrus are dino nerds, Double Date, this is awful",English,2018-08-15,Completed,2018-08-15,424,1/1,null,48,1,335,"A awkward double date with the Kippen-Brown step-siblings and their dinosaur-obsessed significant others. OR Tyrus Week, Day 4: Double Date (Inspired by @kasuca's art of this day on tumblr. Thnx friend)"
15699561,Hero,/users/AngelynMoon/pseuds/AngelynMoon,Major Character Death,General Audiences,M/M,Star Wars Sequel Trilogy,Poe Dameron/Finn,"Finn (Star Wars), Poe Dameron","Final Battle, Established Relationship",English,2018-08-15,Completed,2018-08-15,336,1/1,null,5,1,69,"Summary: It's their last stand, the resistance is at most a few hundred and before they climb into their X-wings Finn has his hand in Poe's as they say a goodbye that may be their last."
15699522,A moment,/users/AngelynMoon/pseuds/AngelynMoon,No Archive Warnings Apply,General Audiences,M/M,Supernatural,Castiel/Dean Winchester,"Dean Winchester, Castiel (Supernatural)",Immortality,English,2018-08-15,Completed,2018-08-15,363,1/1,null,6,null,101,Summary: Cas' has his Grace back and Dean realizes just how brief a moment in Castiel's life they really are.
15699477,End of the Line,/users/AngelynMoon/pseuds/AngelynMoon,"Creator Chose Not To Use Archive Warnings, No Archive Warnings Apply",General Audiences,"Gen, M/M",Marvel Cinematic Universe,"Bucky Barnes/Steve Rogers (Implied), I guess it could be platonic","Steve Rogers, James ""Bucky"" Barnes, Thanos, Otheres mentioned","Post-Avengers: Infinity War Part 1 (Movie), what could happen, but probably won't",English,2018-08-15,Completed,2018-08-15,656,1/1,null,1,null,25,"Summary: Sometimes Bucky and Steve just sat together in silence, others they talked about the dangers Steve put himself in."
15699444,Nameless,/users/AngelynMoon/pseuds/AngelynMoon,Major Character Death,General Audiences,"Gen, M/M",Shadowhunters (TV),"Magnus Bane/Alec Lightwood (Past), Clary Fray/Jace Wayland, Simon Lewis/Isabelle Lightwood","Catarina Loss, Magnus Bane, Simon Lewis, Clary Fray, Jace Wayland, Isabelle Lightwood, Madzie (Shadowhunters TV)","Future Fic, Downsides to Immortality",English,2018-08-15,Completed,2018-08-15,450,1/1,null,20,1,235,Summary: It's been centuries and he no longer remembered his name.
